feature,importance
tfidf_65,0.11215088
tfidf_15,0.11163788
tfidf_17,0.095217966
tfidf_28,0.07822538
tfidf_18,0.058235686
tfidf_3,0.050242875
tfidf_0,0.04805281
tfidf_106,0.047377113
tfidf_2,0.044328954
tfidf_6,0.044155713
tfidf_59,0.042693514
tfidf_12,0.039718416
tfidf_1,0.039207492
tfidf_32,0.038137246
tfidf_132,0.037711844
tfidf_93,0.033258755
tfidf_8,0.02762134
tfidf_11,0.024235174
tfidf_133,0.009444108
tfidf_22,0.007860449
tfidf_21,0.00640565
tfidf_63,0.003764902
tfidf_23,0.00031588244
tfidf_98,0.0
tfidf_99,0.0
tfidf_104,0.0
tfidf_100,0.0
tfidf_107,0.0
tfidf_105,0.0
tfidf_101,0.0
tfidf_102,0.0
tfidf_103,0.0
tfidf_94,0.0
tfidf_97,0.0
tfidf_96,0.0
tfidf_72,0.0
tfidf_73,0.0
tfidf_74,0.0
tfidf_75,0.0
tfidf_76,0.0
tfidf_77,0.0
tfidf_78,0.0
tfidf_79,0.0
tfidf_80,0.0
tfidf_81,0.0
tfidf_82,0.0
tfidf_83,0.0
tfidf_84,0.0
tfidf_85,0.0
tfidf_86,0.0
tfidf_87,0.0
tfidf_88,0.0
tfidf_89,0.0
tfidf_90,0.0
tfidf_91,0.0
tfidf_92,0.0
tfidf_109,0.0
tfidf_95,0.0
tfidf_108,0.0
customer_tier,0.0
tfidf_110,0.0
tfidf_143,0.0
tfidf_135,0.0
tfidf_136,0.0
tfidf_137,0.0
tfidf_138,0.0
tfidf_139,0.0
tfidf_140,0.0
tfidf_141,0.0
tfidf_142,0.0
tfidf_144,0.0
tfidf_131,0.0
tfidf_145,0.0
tfidf_146,0.0
tfidf_147,0.0
tfidf_148,0.0
tfidf_149,0.0
tfidf_150,0.0
tfidf_151,0.0
tfidf_152,0.0
tfidf_134,0.0
tfidf_130,0.0
tfidf_111,0.0
tfidf_119,0.0
tfidf_112,0.0
tfidf_113,0.0
tfidf_70,0.0
tfidf_114,0.0
tfidf_115,0.0
tfidf_116,0.0
tfidf_117,0.0
tfidf_118,0.0
tfidf_120,0.0
tfidf_129,0.0
tfidf_121,0.0
tfidf_122,0.0
tfidf_123,0.0
tfidf_124,0.0
tfidf_125,0.0
tfidf_126,0.0
tfidf_127,0.0
tfidf_128,0.0
tfidf_71,0.0
tfidf_60,0.0
tfidf_69,0.0
auto_suggestion_accepted,0.0
response_count,0.0
attachments_count,0.0
contains_error_code,0.0
contains_stack_trace,0.0
business_impact,0.0
affected_users,0.0
weekend_ticket,0.0
after_hours,0.0
language,0.0
region,0.0
tfidf_4,0.0
tfidf_5,0.0
tfidf_7,0.0
tfidf_9,0.0
tfidf_10,0.0
tfidf_13,0.0
tfidf_14,0.0
ticket_text_length,0.0
bug_report_filed,0.0
tfidf_19,0.0
known_issue,0.0
product_module,0.0
priority,0.0
severity,0.0
channel,0.0
previous_tickets,0.0
resolution_time_hours,0.0
resolution_attempts,0.0
agent_experience_months,0.0
agent_specialization,0.0
escalated,0.0
transferred_count,0.0
satisfaction_score,0.0
resolution_helpful,0.0
account_age_days,0.0
account_monthly_value,0.0
similar_issues_last_30_days,0.0
product_version_age_days,0.0
tfidf_16,0.0
tfidf_20,0.0
tfidf_68,0.0
tfidf_46,0.0
tfidf_48,0.0
tfidf_49,0.0
tfidf_50,0.0
tfidf_51,0.0
tfidf_52,0.0
tfidf_53,0.0
tfidf_54,0.0
tfidf_55,0.0
tfidf_56,0.0
tfidf_57,0.0
tfidf_58,0.0
product,0.0
tfidf_61,0.0
tfidf_62,0.0
tfidf_64,0.0
tfidf_66,0.0
tfidf_67,0.0
tfidf_47,0.0
tfidf_45,0.0
tfidf_24,0.0
tfidf_44,0.0
tfidf_25,0.0
tfidf_26,0.0
tfidf_27,0.0
tfidf_29,0.0
tfidf_30,0.0
tfidf_31,0.0
tfidf_33,0.0
tfidf_34,0.0
tfidf_35,0.0
tfidf_36,0.0
tfidf_37,0.0
tfidf_38,0.0
tfidf_39,0.0
tfidf_40,0.0
tfidf_41,0.0
tfidf_42,0.0
tfidf_43,0.0
tfidf_153,0.0
